section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-header-container,section-result-info,section-result-location
Doña Mercedes Hostel - 1.5 Star,3.4,(26),Hostel,,,,₱724,Temporarily closed,
Dragon Home Inn,3.8,(184),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
OYO 428 Cebu Hilltop Hotel,3.8,(135),3-star hotel,,Pool,Free parking,,Temporarily closed,
Pensionne la Florentina,3.8,(62),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,,Free parking,Free Wi-Fi,,Temporarily closed,
Alicia Tower Residences,3.9,(227),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,,Temporarily closed,
The Ancestors Pension,3.8,(81),2-star hotel,,,,,Temporarily closed,
Tropical Hostel Cebu Center,3.6,(64),2-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
Food District Hostel Cebu Central,4.2,(83),Hostel,,,,,Temporarily closed,
Elegant Circle Inn,3.7,(299),3-star hotel,,Free parking,Free Wi-Fi,₱853,Temporarily closed,
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,,Spa,Free parking,,Temporarily closed,
Cebu Hostel & Glamping,4.5,(2),Hostel,,,,,Temporarily closed,
7 Days Inn,3.6,(16),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
GV Hotel Lapulapu,3.3,(148),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Flory's Inn,3.3,(6),1-star hotel,,,,₱965,Temporarily closed,
Transit Point Mactan Hostel - 1 Star,3.6,(83),2-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Well Hotel,3.9,(138),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Chiasti Capsule Hostel,1.0,(1),Hostel,Humble budget hotel near Cebu IT Park,,,"₱1,266",Temporarily closed,
Casa Rosario Hotel,4.0,(68),3-star hotel,,Free parking,Free Wi-Fi,"₱1,212",Temporarily closed,
ZEN Premium Banilad,4.0,(14),3-star hotel,Relaxed budget hotel with a gym,Spa,,,Temporarily closed,
@HOME,3.4,(26),Hostel,,,,₱724,Temporarily closed,
Murals Mactan,4.4,(37),Hostel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
Anri Pension House,3.9,(157),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
호텔 켈리포니아(Hotel California),3.1,(77),2-star hotel,,,,,Temporarily closed,
MB's Garden Inn,4.2,(186),3-star hotel,,Pool,Free parking,,Temporarily closed,
1521 Hostel,4.4,(68),2-star hotel,Laid-back hostel with a cafeteria,Spa,Free parking,₱765,Temporarily closed,
Park Hill Hotel Mactan,3.1,(313),2-star hotel,Casual hotel with a restaurant & Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Titan Residence at Mactan Cebu,2.5,(2),Hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
Express Inn - Osmeña,3.8,(197),3-star hotel,,Pool,Free parking,,Temporarily closed,
RedDoorz Premium @ Wireless Mandaue Cebu,4.2,(103),3-star hotel,,Pool,,₱853,Temporarily closed,
Hotel One,4.3,(8),Hotel,,,,,Temporarily closed,
Elicon House,3.8,(218),Cafe,,,,,Temporarily closed,
Crown Port View Hotel,3.5,(102),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
Alpa City Suites,4.1,(505),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Mactan Condo,3.3,(6),Lodging,,,,₱965,Temporarily closed,
Canberry Hotel,3.8,(180),3-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Rumah Highlands Hotel,4.3,(421),3-star hotel,,Pool,Spa,,Temporarily closed,
OYO 540 Verovino Suites,1.0,(1),Hotel,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,
18 Suites Cebu,4.6,(115),Hotel,Unassuming hotel with free Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Storyshare Apas,4.0,(26),2-star hotel,Relaxed budget hotel with a gym,Free parking,Free Wi-Fi,,Temporarily closed,
Murals Sleepbox,4.4,(15),Hostel,,,,₱724,Temporarily closed,
Pantawan Guest House - 2 Star,4.2,(34),Hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
Mad Monkey Hostel Cebu City,4.6,(501),Hostel,,Pool,Spa,,Temporarily closed,
Palazzo Pensionne - 2.5 Star,4.2,(163),2-star hotel,Low-key hotel with free breakfast,Free parking,Free Wi-Fi,,Temporarily closed,
Cityscape,4.1,(11),3-star hotel,,,,,Temporarily closed,
Island Breeze Hostel - Cebu Central - 1 Star,3.7,(55),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,₱765,Temporarily closed,
The Center Suites,4.0,(270),2-star hotel,Simple budget hotel with a chapel,Free parking,Free Wi-Fi,,Temporarily closed,
Big Dreams Residences,4.4,(58),2-star hotel,Simple budget hotel with dining,Free parking,Free Wi-Fi,₱477,Temporarily closed,
Europa Mansionette Inn - 2 Star,3.7,(104),3-star hotel,,Free breakfast,,,Temporarily closed,
ZEN Rooms M. Velez Street,4.0,(40),3-star hotel,,Free parking,Free Wi-Fi,₱853,Temporarily closed,
Sunday Hostel,3.5,(39),2-star hotel,,Free breakfast,,,Temporarily closed,
Oftana Suites,3.7,(33),2-star hotel,,,,"₱1,143",Temporarily closed,
The Partridge Guesthouse - 2.5 Star,4.3,(16),2-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,
Richmond Plaza Hotel,3.2,(176),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Bugoy Bikers Hostel,4.3,(66),2-star hotel,,Free Wi-Fi,,₱965,Temporarily closed,
Sabina Suites,3.7,(20),2-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Cebu Northwinds Hotel,3.8,(287),3-star hotel,"Unassuming rooms, plus free breakfast",Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz Plus @ Mabolo Cebu,4.0,(59),3-star hotel,Humble budget hotel near Cebu IT Park,Pool,,₱938,Temporarily closed,
Lylie Hotel,3.9,(86),2-star hotel,Low-key budget lodging with free Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Centro Mactan Suites,4.3,(111),2-star hotel,Modest hotel with free breakfast & Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Cebu City Center Inn - IT Park,4.1,(9),2-star hotel,,Free parking,Free Wi-Fi,₱724,Temporarily closed,
Cinfandel Suites - 2 Star,3.8,(66),3-star hotel,Unassuming budget hotel with a cafe,Free Wi-Fi,,₱587,Temporarily closed,
Hotel Le Carmen,4.3,(12),Hotel,,,,,Temporarily closed,
Joyful Island Hostel Cebu City,4.0,(7),2-star hotel,Low-key lodging with dining & Wi-Fi,Free Wi-Fi,,,Temporarily closed,
Adelfa Hotel,4.0,(217),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
La Gloria Residence Inn,3.3,(64),3-star hotel,Laid-back hostel with a cafeteria,Pool,Free parking,₱765,Temporarily closed,
Murals Hostel & Cafe - 2.5 Star,4.6,(124),Hostel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,
CEBU BUDGETEL - IT PARK CITY CENTER,3.4,(7),2-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
One Central Hotel - 3 Star,4.2,(629),3-star hotel,,Pool,Spa,,Temporarily closed,
Cebu Backpackers' Place,4.7,(7),2-star hotel,,Pool,Free Wi-Fi,₱853,Temporarily closed,
1st Avenue Apartelle,3.5,(104),Inn,,,,,Temporarily closed,
NS Royal Hotel,3.6,(198),2-star hotel,Casual hotel with a cafe & city views,Free parking,Free Wi-Fi,,Temporarily closed,
Express Inn Lapu-Lapu,3.3,(425),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
Crowne Garden Hotel,3.7,(199),2-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,Temporarily closed,
Manora Apartments and Guest House,4.1,(67),2-star hotel,Laid-back hotel with free breakfast,Free parking,Free Wi-Fi,,Temporarily closed,
B N T Inn,3.2,(19),2-star hotel,,,,₱849,Temporarily closed,Maximo V. Patalinghug Jr. Avenue
The Teepee Place Hostel & Residence Inn,4.0,(3),Hostel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,
Guest house nodoka ゲストハウスのどか,4.6,(48),2-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,309 A. S. Fortuna St
Hotel Pier Cuatro,3.7,(502),2-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,3rd Ave
Hotel Fortuna,4.0,(144),3-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,26 A. Borromeo St
Metro Park Hotel - Cebu City,3.2,(56),2-star hotel,,,,₱724,Temporarily closed,"Saint Lawrence Street, La Guardia St"
Oftana Suites,3.9,(13),3-star hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,P.Remedio St
Hotel Stella,3.3,(268),3-star hotel,,,,,Temporarily closed,Don Gil Garcia St
Mactan District Budgetel-Lapu-Lapu Cebu,2.6,(8),2-star hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,5 Mustang Rd
Azia Suites & Residences,4.0,(328),3-star hotel,,,,,Temporarily closed,8 Rahmann Extension
Fuente Oro Business Suites,3.9,(187),3-star hotel,Laid-back hostel with a cafeteria,,,₱765,Temporarily closed,Gov. M. Roa St
Sebastien Hotel - Mactan,4.0,(256),3-star hotel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,"M.L. Quezon Higway, Ibabao - Gisi - Agus Rd"
Holiday Spa Hotel,3.9,(274),3-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,Gov. M. Cuenco Ave
Toyoko Inn Cebu,4.0,"(1,680)",3-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,"Jcentre Mall, 165 A. S. Fortuna St"
Crown Regency Residences Cebu,3.5,(318),3-star hotel,,,,₱853,Temporarily closed,"Guadalupe, V Rama Ave"
OYO 182 Countess Pension House,4.0,(53),2-star hotel,,,,,Temporarily closed,"0, North Road, Liloan"
Felix Residences,4.1,(132),Hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,
Verbena Hotel,4.0,(141),2-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,584 Don Gil Garcia St
Holiday Plaza Hotel,3.6,(216),3-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,F. Ramos St
Mezzo Hotel,4.0,(456),4-star hotel,Laid-back hotel with free breakfast,,,"₱1,220",Temporarily closed,"F. Cabahug, Pres. Quezon St"
Travelbee Capitol Inn,3.7,(43),2-star hotel,,,,₱849,Temporarily closed,
Escario Central Hotel,4.2,(184),2-star hotel,"Unassuming rooms, plus free breakfast",Free parking,Free Wi-Fi,"₱1,530",Temporarily closed,
WJV inn Basak Mandaue,4.6,(48),Hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,
Guest House Nodoka,5.0,(3),Hotel,Low-key budget lodging with free Wi-Fi,Pool,Free Wi-Fi,"₱1,107",Temporarily closed,
Andy Hotel,3.8,(467),2-star hotel,Modest hotel with free breakfast & Wi-Fi,Free parking,Free Wi-Fi,"₱1,150",Temporarily closed,
Gratitude Pension House,3.7,(163),Inn,,Free Wi-Fi,,₱724,Temporarily closed,
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
Balai Flordeliza Guest House,3.3,(268),Lodging,,,,,Temporarily closed,
Leope Hotel,4.0,(329),3-star hotel,Low-key lodging with dining & Wi-Fi,Free parking,Free Wi-Fi,"₱1,284",Temporarily closed,
Cityscape Hotel Cebu and Mandaue (Official),3.6,(220),3-star hotel,,Pool,Free parking,,Temporarily closed,
Hamersons Hotel - Best Affordable Hotel Near Fuente Osmeña Circle,4.0,(233),3-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,₱765,Temporarily closed,
Honeybee Royal Inn,3.8,(11),2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free breakfast,"₱1,132",Temporarily closed,
The Orchard Cebu,3.4,(178),3-star hotel,Simple budget hotel with dining,Spa,Free parking,₱477,Temporarily closed,
ZEN Rooms Zapatera,5.0,(2),2-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,
Southpole Central Hotel,3.8,(194),3-star hotel,,Spa,Free parking,₱853,Temporarily closed,
VIVIEN'S HOTEL,4.4,(75),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Rublin Hotel Cebu,3.8,(93),Hotel,Casual hotel with a cafe & city views,Free parking,Free Wi-Fi,"₱1,437",Temporarily closed,
Cebuview Tourist Inn,3.8,(124),2-star hotel,Unassuming budget hotel with a cafe,Pool,Free Wi-Fi,₱500,Temporarily closed,
Amaris Bed & Breakfast,4.4,(203),3-star hotel,Relaxed lodging with low-key dining,Free Wi-Fi,Free breakfast,"₱1,162",Temporarily closed,
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,Temporarily closed,
Allure Hotel & Suites,3.9,(295),3-star hotel,,,,₱849,Temporarily closed,
Mactan Backpackers Inn,4.1,(24),2-star hotel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,"Tiangue Rd Babag-Looc Road,"
ACE Penzionne,3.7,(115),3-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,"Behik Building, 2483 M.L. Quezon National Highway"
Uncle Tom's Cabin Hotel,4.2,(484),3-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,M. P. Yap St
RedDoorz Plus near Mango Avenue Cebu,3.9,(16),Hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,Juana Osmeña St
Paragon Suites,3.8,(95),3-star hotel,,,,₱724,Temporarily closed,91 Juana Osmeña St
Diamond Suites and Residences,3.7,(440),3-star hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,8 Apitong St
The Maxwell Hotel,3.8,(310),3-star hotel,,,,,Temporarily closed,N Escario St
New Era Mandaue Budget Hotel,3.8,(213),2-star hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,"J.L. Briones St. (known as Plaridel St.), Purok Mangga, Cambaro"
Archer's Field Inn,3.5,(48),Inn,,,,,Temporarily closed,Kulo
Palm Grass The Cebu Heritage Hotel,4.1,(379),3-star hotel,Down-to-earth lodging with a rooftop bar,,,₱765,Temporarily closed,"Barangay Kalubihan 68 General, Junquera St"
Eloisa Royal Suites,4.0,(530),3-star hotel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,Maximo V. Patalinghug Jr. Avenue
Harolds,4.6,(9),4-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,Gonordo Ave
Coconut Pension House,3.9,(164),3-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,"Bagumbayan Uno, Maribago"
Alicia Apartelle,4.2,(377),3-star hotel,,,,₱853,Temporarily closed,Gov. M. Cuenco Ave
JRM (Mariner's)Travellers Inn,4.4,(75),Inn,,,,,Temporarily closed,"Barangay Suba, Samboan"
