section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Burger King,Fast Food,4.1,(395),,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,Open until 5:00 pm,Takeaway,
Chowking,Fast Food,4.0,(41),₱,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",,Open until 10:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(11),₱,Santo Niño St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,3.8,(132),₱,M.L. Quezon National Highway,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery,
Lola Inda Fast Food,Fast Food,1.0,(1),,F. Ramos St,,Open until 7:30 pm,,
Jollibee,Fast Food,4.2,(429),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(477),₱,N Escario St,Iconic fast-food burger & fries chain,Open until 8:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(143),₱,General Maxilom Ave,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
McDonald's,Fast Food,4.1,(360),₱,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
Kanadara Restaurant,Fast Food,3.9,(418),,F Ramos Street,Iconic fast-food burger & fries chain,,Delivery,
Burger King,Fast Food,4.2,(552),,"Gen Maxilom Avenue, Cor Juana Osmeña St",Fast-food chain for grilled burgers,Open until 5:00 pm,,Closed
Orange Brutus,Fast Food,4.0,(5),,"Ground Floor, Elizabeth Mall Leon, Kilat Street",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery · Takeaway,
KFC,Fast Food,4.2,(95),₱,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.2,(84),₱,,Iconic fast-food burger & fries chain,,Delivery,
McDonald's,Fast Food,4.1,(505),₱,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,,Delivery,Temporarily closed
Chowking,Fast Food,3.2,(13),₱,"G/F Gaisano Grand Mall of Mactan, Basak corner Agus Road, Lapu Lapu City Cebu",Korean fried chicken specialist,Open until 7:00 pm,,
A La King Cafe,Fast Food,3.8,(253),,D. Jakosalem Street,Iconic fast-food burger & fries chain,,Delivery · Takeaway,
Jollibee,Fast Food,3.6,(53),₱,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.1,(686),₱,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,,Delivery,
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Opens at 5:00 pm,Delivery,Closed
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Open until 10:00 pm,Takeaway,Temporarily closed
Chowking,Fast Food,3.4,(92),₱,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,
Chowking,Fast Food,3.2,(6),₱,3F,,Open until 7:30 pm,,Temporarily closed
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.2,(148),₱,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(471),₱,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,,Delivery · Takeaway,
McDonald's,Fast Food,4.0,(295),₱,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,Temporarily closed
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,Closed
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,
Orange Brutus,Fast Food,3.4,(5),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,Temporarily closed
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.7,(27),₱,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Andok's,Fast Food,3.9,(37),₱,Juan Luna Ave Corner Mj Cuenco Ave,Fast-food chain with Filipino flavors,,Delivery · Takeaway,
Orange Brutus,Fast Food,4.0,(6),,2 Archbishop Reyes Ave,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.1,(276),₱,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(170),₱,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,3.7,(294),₱,2 General Maxilom Ave,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Mang Inasal,Fast Food,3.8,(31),₱,"E-Mall, N. Bacalso Cor. Leon Kilat St.",Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,Closed
Mang Inasal,Fast Food,4.4,(10),,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Orange Brutus,Fast Food,3.7,(29),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery · Takeaway,
Jollibee Escario DT,Fast Food,4.3,(200),₱,N Escario St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee Gorordo,Fast Food,4.1,(227),₱,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Temporarily closed
Jollibee - Basak Mactan,Fast Food,4.1,(493),₱,Basak,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.0,(78),,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(411),₱,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Chowking,Fast Food,2.8,(10),,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,
Chowking,Fast Food,3.9,(215),₱,,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Mang Inasal,Fast Food,3.5,(56),₱,"Osmeña Blvd, corner F. Gonzales St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Mang Inasal,Fast Food,3.9,(15),₱,Gaisano Grand Mactan Corner Basak Agus Rd Lapu-lapu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowking,Fast Food,3.7,(7),₱,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery,
Chowking,Fast Food,3.7,(30),₱,"G/F Gaisano Mall, Tabunok, Talisay, Cebu City",Quick stop for familiar Chinese fare,Open until 7:00 pm,Delivery · Takeaway,
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,"Metro, W Geonzon St",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
KFC,Fast Food,3.8,(36),,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee Robinsons Cybergate,Fast Food,4.2,(40),₱,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(534),₱,Cebu N Rd,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee Bulacao,Fast Food,4.1,(565),₱,Cebu S Rd,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,
Jollibee Guadalupe,Fast Food,4.1,(688),₱,R. Duterte St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Andok's,Fast Food,3.8,(130),₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Hugot Fastfood,Diner,3.7,(29),,259 Tres de Abril St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
MyJoy,Fast Food,3.8,(28),,10 Apitong St,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(277),₱,"President Osmeña Blvd, Corner Arlington Pond St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Andok's,Fast Food,3.5,(6),₱,,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(119),₱,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
BonChon,Fast Food,2.5,(4),₱₱,"Mactan Cebu International Airport Terminal, 2",Korean fried chicken specialist,Open until 11:30 pm,Delivery · Takeaway,
Burger King,Fast Food,4.0,(1),,"Northdrive, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Sr. Pedro,Fast Food,5.0,(4),,Hernan Cortes St,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,
KFC Fuente Osmeña,Fast Food,3.8,(336),₱,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,3.6,(22),₱,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Andoks,Fast Food,4.0,(86),,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Dimsum Break,Fast Food,4.1,(8),,"G/F, Gaisano Fiesta Mall Tabunok, Cebu S Rd",Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery,
KFC,Fast Food,4.3,(3),₱,SM,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(300),₱,Cebu N Rd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Tokyo Tokyo,Japanese,3.3,(8),₱₱,"SM Seaside, F Vestil St Cor SRP",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Mang Inasal,Fast Food,2.7,(13),₱,G/F Gaisano Fiesta Mall Tabunok 6045,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,
Okinawa Heat - SM Foodcourt,Fast Food,5.0,(2),,SM City Cebu,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery · Takeaway,Temporarily closed
Ngohiong Express,Takeout Restaurant,3.8,(22),,Francisco Llamas St,Fast-food chain with Filipino flavors,Open until 7:00 pm,Takeaway,
Andok's,Fast Food,3.6,(41),₱,,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Closed
MyJoy SM Seaside,Fast Food,4.5,(2),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
KFC Mandaue,Fast Food,4.0,(421),₱,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Abeth's Fastfood,Fast Food,3.0,(2),,,Quick stop for familiar Chinese fare,Open until 5:00 pm,Delivery · Takeaway,
Chowking,Fast Food,3.7,(367),₱,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery · Takeaway,
KFC Parkmall,Fast Food,3.7,(75),₱,168 Park Mall Dr,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
KFC E Bloc 3,Fast Food,3.9,(50),₱,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,
ArmyNavy Burger + Burrito,Fast Food,4.2,(16),₱₱,"Ayala Center, 176 Archbishop Reyes Ave",Korean fried chicken specialist,Open until 11:00 pm,Delivery · Takeaway,
Bigby's,Fast Food,3.5,(37),,"SM City Cebu, Juan Luna Ave., Cor. Cabahug and Kaoshiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
KFC Ayala Cebu 2,Fast Food,2.6,(31),₱,"Archbishop Reyes Cebu, 3rd level, Ayala Center Cebu, Cebu Business Park",Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,
Andy's Crunchicken,Chicken,3.8,(336),,"Skyrise 1, I. Villa St",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,
Bigby's Cafe,Restaurant,4.3,(21),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Jollibee,Fast Food,2.9,(11),,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Kikomeister's,Takeout Restaurant,4.1,(8),,86 F. Ramos St,Quick stop for familiar Chinese fare,Open until 8:00 pm,Takeaway,
Three Guys And A Grill,Hamburger,4.4,(13),,N Escario St,Quick stop for familiar Chinese fare,Open until 12:00 am,Delivery · Takeaway,
Kenny Rogers Roasters,Chicken,4.2,(38),₱₱,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Dimsum Break,Dim Sum,4.1,(44),₱₱,139 Colon St,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Mr. Kimbob,Korean,4.3,(31),,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Bigby's,Restaurant,3.9,(107),,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Iconic fast-food burger & fries chain,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Greenwich,Pizza,4.1,(175),₱₱,"LEVEL 1 RAINTREE MALL, GEN. MAXILOM AVENUE",Fast-food chain with Filipino flavors,Open until 1:00 am,Takeaway,
Bonchon Chicken,Chicken,4.1,(118),₱₱,"Ayala Center Cebu, Bohol Ave, The Terraces",Korean fried chicken specialist,Open until 10:30 pm,Delivery,Closed
Kusina Ng Gerrys,Restaurant,4.5,(2),,"Starmall, N. Bacalso",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Tokyo Tokyo Philippines,Japanese,3.6,(22),₱₱,"G/F, SM Seaside, Reclamation Area",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
McDonald's Paseo Arcenas,Restaurant,4.4,(396),₱,Salvador St,Iconic fast-food burger & fries chain,Open until 6:00 pm,Delivery · Takeaway,
Kenny Rogers Roasters,Chicken,3.9,(72),₱₱,"SM City Cebu, Upper Ground",Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery · Takeaway,
Rustic Chef's,Restaurant,4.2,(108),₱,Maximo V. Patalinghug Jr. Avenue,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Maxs Restaurant,Filipino,4.0,(33),₱₱,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,
Kuzina Guadalupe,Restaurant,3.8,(27),,M. Velez St,Korean fried chicken specialist,Open until 8:00 pm,Delivery · Takeaway,
Max's Restaurant BTC,Restaurant,3.9,(89),₱₱,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.3,(211),₱,C Central Nautical Hwy,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Persian Palate,Persian,4.1,(271),₱₱,"Active Zone, Ayala Center Cebu, Archbishop Reyes Ave",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,Temporarily closed
Ngohiong Express,Restaurant,3.6,(56),,J. Luna Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Classic Savory,Restaurant,3.6,(5),₱₱,SM,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Braddex,Restaurant,4.2,(282),₱,Katipunan St,Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.1,(265),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Classic Savory,Takeout Restaurant,4.1,(9),₱₱,"SM Seaside, F Vestil St Cor SRP",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Patty Pie,Restaurant,3.9,(47),,Cebu South Coastal Rd,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Sinangag Station,Restaurant,4.3,(77),,R. Landon St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Barikata Ramen Bar,Ramen,4.2,(152),,"G/F Calyx Building West Geonzon Street IT park Lungsod ng Cebu PH, W Geonzon St",Iconic fast-food burger & fries chain,Open until 10:30 pm,Delivery · Takeaway,Temporarily closed
Ngohiong Express,Restaurant,4.1,(175),,"Ayala access road (axis), Mactan St",Fast-food chain with Filipino flavors,Open until 1:00 am,Takeaway,
Special Ngohiong Express,Takeout Restaurant,5.0,(1),,85 Osmeña Blvd,Korean fried chicken specialist,Open until 10:30 pm,Takeaway,Closed
Rai Rai Ken,Japanese,3.7,(58),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Classic Savory,Restaurant,4.2,(6),,"Space 2107, 2F SM City Cebu, North Reclamation Area, Cebu City",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Doming's Ngohiong,Chinese,3.9,(105),,"Door #1 G/F Pacific Tourist Inn M. Gotianuy Bldg., V. Gullas St., 6000, Balintawak",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery · Takeaway,
My Joy,Restaurant,4.2,(133),,Osmeña Blvd,Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,
Conching Native Chicken,Restaurant,3.8,(184),₱₱,Juan Luna St. North Reclamation Area,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Ribshack,Restaurant,4.1,(124),,"SM City Cebu Juan Luna Ave. Corner Cabahug And, Kaohsiung St",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,
Bigby's Cafe & Restaurant - SM Seaside,Restaurant,4.0,(8),,"Lower Ground Floor, Mountain Wing SM Seaside City",Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,
Sinangag Station,Takeout Restaurant,3.6,(109),,2 Gorordo Ave,Chain eatery for Filipino fried chicken,Open until 10:00 pm,Takeaway,Temporarily closed
Papsy's BBQ,Restaurant,3.6,(5),,"Grand Gaisano Minglanilla Dept Store, Natalio B. Bacalso S National Hwy",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
